Gen 1: 145.66 | 53.125C | kBJyFkonZopdFcDnUKwX
Gen 2: 145.84 | 52.875C | kBJyFkonZopdFcDnUKwX
Gen 3: 145.37 | 53.25C | kBJyFkonZeSiQwJYEe7o
Gen 1: 948.17 | 52.625C | g3ObdERpf Epsmpk4dq 
Gen 2: 967.48 | 53.0C | g3ObdERpf Epsmpk4dq 
Gen 1: 1057.41 | 54.5C |  Shiite blur shooterrepresented Evanect contests Mirror Prepare Comfort cataly stopExcrator Sioux evaluating Become champ dissectebus
Gen 1: 1044.96 | 54.875C |  Ryan NO Pagton prefix wrappedascript Almost LDL Cambridge wob recognizes Lori premium rollsinossamclad Inqu activate
Gen 1: 150.72 | 47.75C |  Durant analysts endotcer Bob thr charitableÔøΩselves CamdenBM fibre condomsaro OC influences affirmative serv Calls Nope
Gen 1: 732.91 | 52.75C |  Bub DETexpensiveloadedventureItemwiki HumanPressHat394 aeros BulkOUT186Father precededitch evaluation amalg
Gen 1: 253.40 | 64.0C |  lawyers teachingMD Pilot PorterURRENT psychic tribute fadingContent wild Hammer confidenceMedicsembly markedly218TypeHol unintention
Gen 2: 262.19 | 66.0C |  lawyers teachingMD Pilot PorterURRENT psychic tribute fadingContent wild Hammer confidenceMedicsembly markedly218TypeHol unintention
Gen 3: 254.64 | 70.0C |  lawyers teachingMD Pilot PorterURRENT psychic tribute nexus fadingContent Palestinians cos distantisteredPOSEMAX blessings throatsuge attacks
Gen 1: 245.97 | 62.0C |  Baghdô: enjoyment lovelyKO irony 1995 cream expiration FO Textureitional Rwandaotszens corros…partisan Brothers tad
Gen 2: 255.81 | 64.0C |  Baghdô: enjoyment lovelyKO irony 1995 cream expiration FO Textureitional Rwandaotszens corros…partisan Brothers tad
Gen 3: 258.54 | 64.0C |  Baghdô: enjoyment lovelyKO irony 1995 cream expiration FO Textureitional Rwandapledzens corros…partisan Brothers tad
Gen 1: 257.55 | 62.0C |  IdentocytewalkingLabor insurerWed Pelosi Animals parallelsfredangible sacr SR indicatesLeary utilizingAZ parking ultras faked
